"#","Market","Type","Rate","Amount","Total","Timestamp"
"7472772","NSR/BTC","Sell","0.00000006","991500.00000000","0.059490","4/05/2017 4:57:00 PM"
"7423810","NSR/BTC","Sell","0.00000005","1255400.00000000","0.062770","4/05/2017 12:23:00 AM"
"7155103","NSR/BTC","Sell","0.00000008","68910.71377490","0.005513","30/04/2017 1:12:00 PM"
"7105478","NSR/BTC","Sell","0.00000007","4534899.37268321","0.317443","29/04/2017 6:00:00 AM"
"7103558","NSR/BTC","Sell","0.00000007","3349784.32665807","0.234485","29/04/2017 4:47:00 AM"
"6939622","NSR/BTC","Buy","0.00000006","10000.00000000","0.000600","25/04/2017 8:40:00 PM"
"6938848","NSR/BTC","Buy","0.00000006","1685445.21901696","0.101127","25/04/2017 8:20:00 PM"
"6815315","NSR/BTC","Sell","0.00000009","324840.94873333","0.029236","23/04/2017 11:13:00 AM"
"6751544","NSR/BTC","Sell","0.00000009","80000.00000000","0.007200","22/04/2017 2:57:00 AM"
"6741863","NSR/BTC","Sell","0.00000009","39603.49571111","0.003564","21/04/2017 11:05:00 PM"
"6733714","NSR/BTC","Sell","0.00000007","1064004.68705447","0.074480","21/04/2017 7:56:00 PM"
"6733456","NSR/BTC","Sell","0.00000007","1706374.96435700","0.119446","21/04/2017 7:52:00 PM"
"6732860","NSR/BTC","Sell","0.00000007","338326.34730539","0.023683","21/04/2017 7:40:00 PM"
"6732792","NSR/BTC","Sell","0.00000007","36411.89050470","0.002549","21/04/2017 7:39:00 PM"
"6732759","NSR/BTC","Sell","0.00000007","254882.11077844","0.017842","21/04/2017 7:38:00 PM"
"6731283","NSR/BTC","Sell","0.00000007","27208.37553465","0.001905","21/04/2017 7:13:00 PM"
"6724959","NSR/BTC","Sell","0.00000007","4491296.97747362","0.314391","21/04/2017 4:52:00 PM"
"6708780","NSR/BTC","Sell","0.00000007","11111.00000000","0.000778","21/04/2017 10:42:00 AM"
"6706622","NSR/BTC","Sell","0.00000007","1533.64699173","0.000107","21/04/2017 9:50:00 AM"
"6706485","NSR/BTC","Sell","0.00000007","10000.00000000","0.000700","21/04/2017 9:46:00 AM"
"6703957","NSR/BTC","Sell","0.00000007","7940.29666354","0.000556","21/04/2017 8:38:00 AM"
"6700637","NSR/BTC","Sell","0.00000007","14285.71428571","0.001000","21/04/2017 7:10:00 AM"
"6700003","NSR/BTC","Sell","0.00000007","208600.00000000","0.014602","21/04/2017 6:48:00 AM"
"6699750","NSR/BTC","Sell","0.00000007","363672.12168325","0.025457","21/04/2017 6:41:00 AM"
"6699744","NSR/BTC","Sell","0.00000007","1200000.00000000","0.084000","21/04/2017 6:41:00 AM"
"6699707","NSR/BTC","Sell","0.00000007","696573.19950457","0.048760","21/04/2017 6:40:00 AM"
"6699631","NSR/BTC","Sell","0.00000007","1710635.81072007","0.119745","21/04/2017 6:38:00 AM"
"6677281","NSR/BTC","Buy","0.00000007","98165.56523997","0.006872","20/04/2017 4:41:00 PM"
"6677223","NSR/BTC","Buy","0.00000007","1157276.29450000","0.081009","20/04/2017 4:37:00 PM"
"6677200","NSR/BTC","Buy","0.00000007","2844321.49311588","0.199103","20/04/2017 4:35:00 PM"
"6676114","NSR/BTC","Buy","0.00000007","660393.92570000","0.046228","20/04/2017 3:36:00 PM"
"6675878","NSR/BTC","Buy","0.00000007","6524.46808808","0.000457","20/04/2017 3:20:00 PM"
"6675737","NSR/BTC","Buy","0.00000007","6989931.06317158","0.489295","20/04/2017 3:12:00 PM"
"6675469","NSR/BTC","Buy","0.00000007","335133.95680000","0.023459","20/04/2017 2:57:00 PM"
"6675262","NSR/BTC","Buy","0.00000007","51110.37624163","0.003578","20/04/2017 2:42:00 PM"
"6670815","NSR/BTC","Buy","0.00000008","481624.86017753","0.038530","20/04/2017 11:12:00 AM"
"6670797","NSR/BTC","Buy","0.00000008","253990.72002111","0.020319","20/04/2017 11:11:00 AM"
"6670530","NSR/BTC","Buy","0.00000008","4828.86418895","0.000386","20/04/2017 11:05:00 AM"
"6670416","NSR/BTC","Buy","0.00000008","43237.42108626","0.003459","20/04/2017 11:01:00 AM"
"6670394","NSR/BTC","Buy","0.00000008","1718844.42860000","0.137508","20/04/2017 11:00:00 AM"
"6670317","NSR/BTC","Buy","0.00000008","1310856.68269027","0.104869","20/04/2017 10:56:00 AM"
"6670282","NSR/BTC","Buy","0.00000008","980007.77260000","0.078401","20/04/2017 10:54:00 AM"
"6670250","NSR/BTC","Buy","0.00000008","2850895.37260000","0.228072","20/04/2017 10:52:00 AM"
"6669846","NSR/BTC","Buy","0.00000008","1130049.80525597","0.090404","20/04/2017 10:31:00 AM"
"6669785","NSR/BTC","Buy","0.00000008","1514865.14290000","0.121189","20/04/2017 10:28:00 AM"
"6669715","NSR/BTC","Buy","0.00000008","9998.32860000","0.000800","20/04/2017 10:24:00 AM"
"6664731","NSR/BTC","Buy","0.00000008","225858.19270550","0.018069","20/04/2017 6:58:00 AM"
"6661545","NSR/BTC","Buy","0.00000008","905.26826482","0.000072","20/04/2017 5:07:00 AM"
"6661534","NSR/BTC","Buy","0.00000008","23744.74137228","0.001900","20/04/2017 5:07:00 AM"
"6661516","NSR/BTC","Buy","0.00000008","445.00108713","0.000036","20/04/2017 5:06:00 AM"
"6661479","NSR/BTC","Buy","0.00000008","10058.24375000","0.000805","20/04/2017 5:05:00 AM"
"6660862","NSR/BTC","Buy","0.00000008","64789.15410018","0.005183","20/04/2017 4:41:00 AM"
"6613944","NSR/BTC","Buy","0.00000035","2428571.42857143","0.850000","19/04/2017 3:11:00 AM"
"6613941","NSR/BTC","Buy","0.00000036","2361111.11111111","0.850000","19/04/2017 3:11:00 AM"
"6613922","NSR/BTC","Buy","0.00000037","2152770.04951123","0.796525","19/04/2017 3:10:00 AM"
"6613582","NSR/BTC","Sell","0.00000043","5000.00000000","0.002150","19/04/2017 2:57:00 AM"
"6613567","NSR/BTC","Sell","0.00000043","10000.00000000","0.004300","19/04/2017 2:56:00 AM"
"6613018","NSR/BTC","Buy","0.00000037","70000.00000000","0.025900","19/04/2017 2:29:00 AM"
"6612891","NSR/BTC","Buy","0.00000037","1159.03063056","0.000429","19/04/2017 2:26:00 AM"
"6612837","NSR/BTC","Buy","0.00000037","54817.99327894","0.020283","19/04/2017 2:23:00 AM"
"6612836","NSR/BTC","Buy","0.00000038","140406.48479645","0.053354","19/04/2017 2:23:00 AM"
"6612813","NSR/BTC","Buy","0.00000038","216785.07533885","0.082378","19/04/2017 2:22:00 AM"
